course_id,exam_type,button_title,title,ord
CPCS-204,Mid,الميدات📝,Mid23-B&G,3
CPCS-204,Mid,الميدات📝,Mid22-G,2
CPCS-204,Mid,الميدات📝,Mid23.5-G,4
CPCS-204,Mid,الميدات📝,Mid22-B,1
CPCS-204,Mid,الميدات📝,Mid24-B,5
CPCS-204,FinalExam,النهائي💀,Final22-B,1
CPCS-204,FinalExam,النهائي💀,Final16-B,2
CPCS-204,FinalExam,النهائي💀,Final24-B,3
CPCS-204,FinalExam,النهائي💀,Final21-G,4
CPCS-204,FinalExam,النهائي💀,Final23-G,5
CPCS-204,FinalLab,العملي💻,FinalLab22-G,3
CPCS-204,FinalLab,العملي💻,FinalLab23-B,1
CPCS-204,FinalLab,العملي💻,FinalLab23.5-B,2
CPCS-204,FinalLab,العملي💻,FinalLab24_G,4
CPCS-211,Quiz,كويزات🍪,Q01,1
CPCS-211,Quiz,كويزات🍪,Q02,2
CPCS-211,Quiz,كويزات🍪,Q03,3
CPCS-211,Quiz,كويزات🍪,Q04,4
CPCS-211,Quiz,كويزات🍪,Q05,5
CPCS-223,Mid,الميدات📝,Fall2019_Solution,1
CPCS-223,Mid,الميدات📝,Mid2024,2
CPCS-223,Mid,الميدات📝,Sample_2026,3
CPCS-223,Mid,الميدات📝,Spring2019_Solution,4
CPCS-223,Mid,الميدات📝,Spring2020_Solution,5
CPCS-223,Mid,الميدات📝,Spring2025-MakeUp_Solution,6
CPCS-223,Mid,الميدات📝,Spring2025_Solution,7
CPCS-223,Mid,الميدات📝,Summer2017_Solution,8
CPCS-223,Mid,الميدات📝,Summer2018_Solution,9
CPCS-223,Mid,الميدات📝,Summer2019_Solution,10
CPCS-223,Mid,الميدات📝,Sample_Exam01,11
CPCS-223,Quizzes,كويزات🍪,Quiz1,1
CPCS-223,Quizzes,كويزات🍪,Quiz2,2
CPCS-301,Quizzes,كويزات🍪,Quiz1,1
CPCS-301,Quizzes,كويزات🍪,Quiz2,2
CPCS-301,Quizzes,كويزات🍪,Quiz3,3
CPCS-301,Quizzes,كويزات🍪,Quiz1_24,-1
CPCS-301,Mid,الميدات📝,T2_Mid20,5
CPCS-301,Mid,الميدات📝,T2_Mid20_solved,6
CPCS-301,Mid,الميدات📝,T1_Mid20,4
CPCS-301,Mid,الميدات📝,Mid23,1
CPCS-301,Mid,الميدات📝,Mid21_UNV,3
CPCS-301,Mid,الميدات📝,Mid21,2
STAT-352,Quizzes,كويزات🍪,Quiz_ch8&9&10,1
CPIT-210,FinalExam,النهائي💀,Final,1
CPIT-210,FinalExam,النهائي💀,Final21,2
CPIT-210,FinalExam,النهائي💀,Final22.33,3
CPIT-210,FinalExam,النهائي💀,Final23,4
CPIT-220,FinalExam,النهائي💀,Final1,1
CPIT-220,FinalExam,النهائي💀,Final20,2
CPIT-220,FinalExam,النهائي💀,Final23,3
CPIT-220,FinalExam,النهائي💀,Final24,4
CPIT-220,FinalExam,النهائي💀,FinalCollection,5
CPIT-220,FinalLab,العملي💻,FinalLab,1
CPIT-220,Mid,الميدات📝,"MID1,2,3",1
CPIT-220,Mid,الميدات📝,Mid1,2
CPIT-220,Mid,الميدات📝,Mid1Exam,3
CPIT-220,Mid,الميدات📝,Mid1Online,4
CPIT-220,Mid,الميدات📝,Mid21,5
CPIT-220,Mid,الميدات📝,Mid23,6
CPIT-220,Mid,الميدات📝,Mid23Soleved,7
CPIT-220,Mid,الميدات📝,Mid24,8
CPIT-250,FinalExam,النهائي💀,FinalExam,1
CPIT-250,FinalExam,النهائي💀,FinalExam22,2
CPIT-250,FinalLab,العملي💻,FinalLab,1
CPIT-250,Mid,الميدات📝,Mid21,1
CPIT-250,Mid,الميدات📝,Mid21.33,2
CPIT-250,Mid,الميدات📝,Mid22.5,3
CPIT-250,Mid,الميدات📝,Mid22.33,4
CPIT-250,Mid,الميدات📝,Mid22.33Solve,5
CPIT-250,Mid,الميدات📝,Mid22,6
CPIT-260,FinalExam,النهائي💀,FinalExamWithAnswerFall2018,1
CPIT-260,FinalExam,النهائي💀,FinalExamWithAnswerSpring2018,2
CPIT-260,FinalExam,النهائي💀,FinalExamWithAnswerSpring2019,3
CPIT-260,FinalExam,النهائي💀,FinalExamWithAnswerSpring2022,4
CPIT-260,FinalLab,العملي💻,FinalLabFirstTerm2023,1
CPIT-260,FinalLab,العملي💻,FinalLabProject,2
CPIT-260,HomeWork,الواجبات📃,HomeWork,1
CPIT-260,Mid,الميدات📝,1stSem2010,1
CPIT-260,Mid,الميدات📝,1stTest2nd2010,2
CPIT-260,Mid,الميدات📝,EXAM1,3
CPIT-260,Mid,الميدات📝,mid,4
CPIT-260,Mid,الميدات📝,midReda2024,5
CPCS-214,FinalExams,النهائي💀,Final21,1
CPCS-214,FinalExams,النهائي💀,Final22,2
CPCS-214,FinalExams,النهائي💀,Final23,3
CPCS-214,FinalExams,النهائي💀,Final23,4
CPCS-214,FinalExams,النهائي💀,Final_2013,5
CPCS-214,FinalExams,النهائي💀,Final_2012,6
CPCS-214,FinalExams,النهائي💀,Final_2020,7
CPCS-214,FinalLab,العملي💻,FL23&File,1
CPCS-214,FinalLab,العملي💻,FL23,2
CPCS-214,Mid,الميدات📝,Mid23,1
CPCS-214,Mid,الميدات📝,Mid23-Female,1
CPCS-214,Mid,الميدات📝,Mid2_2013,2
CPCS-214,Mid,الميدات📝,Mid2-MSQ,2
STAT-352,Mid1,الميد الاول1️⃣,Mid23,1
CPCS-241,Final,النهائي💀,Final23_SOLVED,1
CPCS-241,Mid,الميدات📝,Mid_DrManar_SOLVED,1
CPCS-241,Mid,الميدات📝,Mid23,2
CPCS-241,Mid,الميدات📝,Mid23_F,3
CPIT-240,FinalExam,النهائي💀,FINAL_21,1
CPIT-240,FinalExam,النهائي💀,FINAL_24,1
CPIT-240,FinalExam,النهائي💀,FINAL_111,1
CPIT-240,FinalExam,النهائي💀,FINAL22.33,1
CPIT-240,FinalExam,النهائي💀,FINAL2024,1
CPIT-240,FinalExam,النهائي💀,FinalCPCS241,1
CPIT-240,FinalExam,النهائي💀,FinalIT20,1
CPIT-240,FinalExam,النهائي💀,Qbank,2
CPIT-240,FinalLab,العملي💻,LabExam-2024,1
