course_id,exam_type,button_title,title,ord
CPCS-204,mid,الميدات📝,Mid23-B&G,3
CPCS-204,mid,الميدات📝,Mid22-G,2
CPCS-204,mid,الميدات📝,Mid23.5-G,4
CPCS-204,mid,الميدات📝,Mid22-B,1
CPCS-204,mid,الميدات📝,Mid24-B,5
CPCS-204,finalexam,النهائي💀,Final22-B,1
CPCS-204,finalexam,النهائي💀,Final16-B,2
CPCS-204,finalexam,النهائي💀,Final24-B,3
CPCS-204,finalexam,النهائي💀,Final21-G,4
CPCS-204,finalexam,النهائي💀,Final23-G,5
CPCS-204,finallab,العملي💻,FinalLab22-G,3
CPCS-204,finallab,العملي💻,FinalLab23-B,1
CPCS-204,finallab,العملي💻,FinalLab23.5-B,2
CPCS-211,quiz,كويزات🍪,Q01,1
CPCS-211,quiz,كويزات🍪,Q02,2
CPCS-211,quiz,كويزات🍪,Q03,3
CPCS-211,quiz,كويزات🍪,Q04,4
CPCS-211,quiz,كويزات🍪,Q05,5
CPCS-223,quizzes,كويزات🍪,Quiz1,1
CPCS-223,quizzes,كويزات🍪,Quiz2,2
CPCS-301,quizzes,كويزات🍪,Quiz1,1
CPCS-301,quizzes,كويزات🍪,Quiz2,2
CPCS-301,quizzes,كويزات🍪,Quiz3,3
CPCS-301,mid,الميدات📝,T2_Mid20,1
STAT-352,quizzes,كويزات🍪,Quiz_ch8&9&10,1
CPIT-210,finalexam,النهائي💀,Final,1
CPIT-210,finalexam,النهائي💀,Final21,2
CPIT-210,finalexam,النهائي💀,Final22.33,3
CPIT-210,finalexam,النهائي💀,Final23,4
CPIT-220,finalexam,النهائي💀,Final1,1
CPIT-220,finalexam,النهائي💀,Final20,2
CPIT-220,finalexam,النهائي💀,Final23,3
CPIT-220,finalexam,النهائي💀,Final24,4
CPIT-220,finalexam,النهائي💀,FinalCollection,5
CPIT-220,finallab,العملي💻,FinalLab,1
CPIT-220,mid,الميدات📝,"MID1,2,3",1
CPIT-220,mid,الميدات📝,Mid1,2
CPIT-220,mid,الميدات📝,Mid1Exam,3
CPIT-220,mid,الميدات📝,Mid1Online,4
CPIT-220,mid,الميدات📝,Mid21,5
CPIT-220,mid,الميدات📝,Mid23,6
CPIT-220,mid,الميدات📝,Mid23Soleved,7
CPIT-220,mid,الميدات📝,Mid24,8
CPIT-250,finalexam,النهائي💀,FinalExam,1
CPIT-250,finalexam,النهائي💀,FinalExam22,2
CPIT-250,finallab,العملي💻,FinalLab,1
CPIT-250,mid,الميدات📝,Mid21,1
CPIT-250,mid,الميدات📝,Mid21.33,2
CPIT-250,mid,الميدات📝,Mid22.5,3
CPIT-250,mid,الميدات📝,Mid22.33,4
CPIT-250,mid,الميدات📝,Mid22.33Solve,5
CPIT-250,mid,الميدات📝,Mid22,6
CPIT-260,finalexam,النهائي💀,FinalExamWithAnswerFall2018,1
CPIT-260,finalexam,النهائي💀,FinalExamWithAnswerSpring2018,2
CPIT-260,finalexam,النهائي💀,FinalExamWithAnswerSpring2019,3
CPIT-260,finalexam,النهائي💀,FinalExamWithAnswerSpring2022,4
CPIT-260,finallab,العملي💻,FinalLabFirstTerm2023,1
CPIT-260,finallab,العملي💻,FinalLabProject,2
CPIT-260,homework,الواجبات📃,HomeWork,1
CPIT-260,mid,الميدات📝,1stSem2010,1
CPIT-260,mid,الميدات📝,1stTest2nd2010,2
CPIT-260,mid,الميدات📝,EXAM1,3
CPIT-260,mid,الميدات📝,mid,4
CPIT-260,mid,الميدات📝,midReda2024,5
CPCS-214,finalexams,النهائي💀,Final21,1
CPCS-214,finalexams,النهائي💀,Final22,2
CPCS-214,finalexams,النهائي💀,Final23,3
CPCS-214,finallab,العملي💻,FL23&File,1
CPCS-214,finallab,العملي💻,FL23,2
CPCS-214,mid,الميدات📝,Mid23,1
STAT-352,mid1,الميد الاول1️⃣,Mid23,1
CPCS-241,final,النهائي💀,Final23_SOLVED,1
CPIT-240,finalexam,النهائي💀,FINAL_21,3
CPIT-240,finalexam,النهائي💀,FINAL_24,5
CPIT-240,finalexam,النهائي💀,FINAL_111,1
CPIT-240,finalexam,النهائي💀,FINAL22.33,4
CPIT-240,finalexam,النهائي💀,FINAL2024,2
CPIT-240,finalexam,النهائي💀,FinalCPCS241,6
CPIT-240,finalexam,النهائي💀,FinalIT20,7
CPIT-240,finallab,العملي💻,LabExam-2024,1
CPIT-240,mid,الميدات📝,MidNOTSolved,8
CPIT-240,mid,الميدات📝,Mid21,3
CPIT-240,mid,الميدات📝,Mid22.33,5
CPIT-240,mid,الميدات📝,Mid22.33Solve,6
CPIT-240,mid,الميدات📝,Mid24,7
CPIT-240,mid,الميدات📝,Mid2010,2
CPIT-240,mid,الميدات📝,Mid20,1
CPIT-240,mid,الميدات📝,Mid21_summary,4
CPIT-285,mid,الميدات📝,Mid21BOY,1
CPIT-285,mid,الميدات📝,Mid24Girls,2
CPIT-285,mid,الميدات📝,MidIT20BOY,3
CPIT-285,mid,الميدات📝,MidpagesGirls,4
CPIT-285,finalexam,النهائي💀,Final_24,3
CPIT-285,finalexam,النهائي💀,Final_20_(Solved),1
CPIT-285,finalexam,النهائي💀,Final_21,2
CPIT-285,finalexam,النهائي💀,FinalExam,4
CPIT-285,finalexam,النهائي💀,review_questions,5
CPIT-285,finalexam,النهائي💀,revision,6
CPCS-241,mid,الميدات📝,Mid23,1
CPCS-241,mid,الميدات📝,Mid23_F,2
CPCS-241,mid,الميدات📝,Mid_DrManar_SOLVED,3
CPIT-210,mid,الميدات📝,MID21,1
CPIT-210,mid,الميدات📝,Mid23,2
CPIT-210,mid,الميدات📝,Mid24,3
CPCS-203,finalexam,النهائي💀,Final,1
CPCS-203,finallab,العملي💻,FL21.5_F,1
CPCS-203,finallab,العملي💻,FL22.5_B,2
CPCS-203,finallab,العملي💻,FL22.5_F,3
CPCS-203,finallab,العملي💻,FL22_B,4
CPCS-203,finallab,العملي💻,FL23.5_F,5
CPCS-203,finallab,العملي💻,FL23_B,6
CPCS-203,finallab,العملي💻,FL_G24,7
CPCS-203,mid,الميدات📝,Mid23.5_F,1
CPCS-203,mid,الميدات📝,Mid23.5_F_S,2
CPCS-203,mid,الميدات📝,Mid23.5_M,3
