course_name,course_code,course_title,section,title,ord
CPCS,204,برمجة 3 - تراكيب البيانات,info,نبذة عن المادةℹ️,1
CPCS,204,برمجة 3 - تراكيب البيانات,sources,مصادر المادة🔗,2
CPCS,204,برمجة 3 - تراكيب البيانات,old_exams,النماذج📝,3
CPCS,204,برمجة 3 - تراكيب البيانات,slides,سلايدات المادة📚,4
CPCS,241,قواعد البيانات,info,نبذة عن المادةℹ️,1
CPCS,241,قواعد البيانات,sources,مصادر المادة🔗,2
CPCS,241,قواعد البيانات,old_exams,النماذج📝,3
CPCS,241,قواعد البيانات,slides,سلايدات المادة📚,4
CPCS,223,خوارزميات,info,نبذة عن المادةℹ️,1
CPCS,223,خوارزميات,sources,مصادر المادة🔗,2
CPCS,223,خوارزميات,old_exams,النماذج📝,3
CPCS,223,خوارزميات,slides,سلايدات المادة📚,4
CPCS,301,لغات برمجة,info,نبذة عن المادةℹ️,1
CPCS,301,لغات برمجة,sources,مصادر المادة🔗,2
CPCS,301,لغات برمجة,old_exams,النماذج📝,3
CPCS,301,لغات برمجة,slides,سلايدات المادة📚,4
CPCS,214,بنيان الحاسب,info,نبذة عن المادةℹ️,1
CPCS,214,بنيان الحاسب,sources,مصادر المادة🔗,2
CPCS,214,بنيان الحاسب,old_exams,النماذج📝,3
CPCS,214,بنيان الحاسب,slides,سلايدات المادة📚,4
CPCS,211,لوجيك,info,نبذة عن المادةℹ️,1
CPCS,211,لوجيك,sources,مصادر المادة🔗,2
CPCS,211,لوجيك,old_exams,النماذج📝,3
CPCS,211,لوجيك,slides,سلايدات المادة📚,4
CPCS,212,ابلايد,info,نبذة عن المادةℹ️,1
CPCS,212,ابلايد,sources,مصادر المادة🔗,2
CPCS,212,ابلايد,old_exams,النماذج📝,3
CPCS,212,ابلايد,slides,سلايدات المادة📚,4
CHEM,202,كيمياء,sources,مصادر المادة🔗,1
PHYS,202,فيزياء,sources,مصادر المادة🔗,1
BIO,202,احياء,sources,مصادر المادة🔗,1
STAT,352,احتمالات عشوائية,sources,مصادر المادة🔗,1
STAT,352,احتمالات عشوائية,old_exams,النماذج📝,3
CPIT,220,مبادئ تقنية المعلوات,info,نبذة عن المادةℹ️,1
CPIT,220,مبادئ تقنية المعلوات,sources,مصادر المادة🔗,2
CPIT,220,مبادئ تقنية المعلوات,old_exams,النماذج📝,3
CPIT,220,مبادئ تقنية المعلوات,slides,سلايدات المادة📚,4
CPIT,210,بنيان حاسب,slides,نبذة عن المادةℹ️,5
CPIT,210,بنيان حاسب,info,مصادر المادة🔗,6
CPIT,210,بنيان حاسب,sources,النماذج📝,7
CPIT,210,بنيان حاسب,old_exams,سلايدات المادة📚,8
CPIT,240,قواعد البيانات,slides,نبذة عن المادةℹ️,10
CPIT,240,قواعد البيانات,info,مصادر المادة🔗,11
CPIT,240,قواعد البيانات,sources,النماذج📝,12
CPIT,240,قواعد البيانات,old_exams,سلايدات المادة📚,13
CPIT,250,تصميم وتحليل النظام,info,نبذة عن المادةℹ️,14
CPIT,250,تصميم وتحليل النظام,sources,مصادر المادة🔗,15
CPIT,250,تصميم وتحليل النظام,old_exams,النماذج📝,16
CPIT,250,تصميم وتحليل النظام,slides,سلايدات المادة📚,17
CPIT,260,نظم تشغيل,info,نبذة عن المادةℹ️,18
CPIT,260,نظم تشغيل,sources,مصادر المادة🔗,19
CPIT,260,نظم تشغيل,old_exams,النماذج📝,20
CPIT,260,نظم تشغيل,slides,سلايدات المادة📚,21
CPIT,285,رسوم حاسب,info,نبذة عن المادةℹ️,22
CPIT,285,رسوم حاسب,sources,مصادر المادة🔗,23
CPIT,285,رسوم حاسب,old_exams,النماذج📝,24
CPIT,285,رسوم حاسب,slides,سلايدات المادة📚,25
